Glass_number,Filename,Si_O_Si_Bond_angle,O_Si_O_bond_angle,number_bridge_oxygen,env_chem_si,env_chem_al,Activation_barrier,initial_water_si_distance,Stress,Shear
glass_num_6,O_295_Si_635,154.1798768,174.3031906,3,3,0,1.312736526,2.93,-0.244116367,5.57E-02
glass_num_6,O_409_Si_639,145.709541,170.9234607,3,3,0,0.78933545,3.219,-0.270066883,0.110775784
glass_num_6,O_571_Si_649,162.7735455,140.5471211,4,4,0,0.321263279,3.213,-0.305385011,8.90E-02
glass_num_6,O_265_Si_666,160.7744228,167.2167593,4,4,0,1.441435567,3.371,-0.279470627,8.59E-02
glass_num_6,O_391_Si_674,172.3266249,154.9769677,3,3,0,1.77212852,3.486,-0.251102606,0.103902853
glass_num_6,O_379_Si_694,161.4819252,162.9677361,4,4,0,1.029822641,3.335,-0.182980344,0.13363834
glass_num_6,O_475_Si_699,158.2165418,169.58972,3,3,0,0.956596355,3.148,-0.210064847,9.79E-02
glass_num_6,O_424_Si_703,160.9288341,158.0288579,4,4,0,1.6853321,3.329,-0.26652018,7.37E-02
glass_num_6,O_58_Si_707,176.5199335,164.796223,3,3,0,2.017106704,3.359,-0.245132093,6.10E-02
glass_num_7,O_103_Si_578,144.9026157,172.6593317,3,3,0,1.176366841,3.28,-0.226439047,0.107666727
glass_num_7,O_217_Si_581,156.370156,163.7261223,4,4,0,0.897361628,3.003,-0.219410569,9.58E-02
glass_num_7,O_493_Si_587,141.0922372,168.6832344,3,3,0,1.147077239,3.281,-0.125145268,0.157995641
glass_num_7,O_409_Si_588,169.2950242,173.6037905,4,4,0,0.915556091,3.274,-0.286331794,6.45E-02
glass_num_7,O_127_Si_589,147.1178154,171.5916346,4,4,0,1.252311808,3.316,-0.272798061,5.34E-02
glass_num_7,O_139_Si_601,158.4963834,159.7594954,4,4,0,1.101401104,3.428,-0.256295386,0.102505287
glass_num_7,O_526_Si_609,130.3232066,69.97259217,4,4,0,0.248284978,2.837,-0.256704197,9.93E-02
glass_num_7,O_40_Si_615,171.1510565,166.8578613,4,4,0,1.680231881,3.352,-0.199534107,5.81E-02
glass_num_7,O_25_Si_625,146.701322,166.8276563,3,3,0,1.487792036,3.259,-0.247007939,8.91E-02
glass_num_7,O_187_Si_634,144.3462885,160.6154348,4,4,0,1.041974937,3.484,-0.251384691,9.14E-02
glass_num_7,O_148_Si_635,135.2082489,149.4270354,4,4,0,0.562423249,3.378,-0.258398108,0.15485331
glass_num_7,O_481_Si_639,141.180085,147.5483676,4,4,0,1.537940786,3.434,-0.230550817,9.93E-02
glass_num_7,O_403_Si_647,141.6026116,166.0989424,4,4,0,1.247008458,3.045,-0.242056585,9.38E-02
